yVtVHoe_1boJ|Internet_of_Medical_Things|Internet-of-Medical-Things|https://dl.acm.org/citation.cfm?id=3066861||
ANWH-rK1HNgJ|The_potential_of_Internet_of_m_health_Things_m_IoT_for_non_invasive_glucose_level_sensing|The potential of Internet of m-health Things “m-IoT” for non-invasive glucose level sensing|http://ieeexplore.ieee.org/abstract/document/6091302/||
NzRKlL6_NzMJ|Internet_of_M_health_Things_m_IOT|Internet of M-health Things'm-IOT'|http://digital-library.theiet.org/content/conferences/10.1049/ic.2011.0036||
4E0LgKLdzoYJ|A_fog_based_middleware_for_automated_compliance_with_OECD_privacy_principles_in_Internet_of_healthcare_things|A fog based middleware for automated compliance with OECD privacy principles in Internet of healthcare things|http://ieeexplore.ieee.org/abstract/document/7805329/|http://ieeexplore.ieee.org/iel7/6287639/7419931/07805329.pdf|
wdwhid5JabwJ|Pervasive_Healthcare_via_The_Internet_of_Medical_Things|Pervasive Healthcare via “The Internet of Medical Things”|https://www.medetel.eu/download/2010/parallel_sessions/abstract/day1/Pervasive_Healthcare.doc||
cXhXzA154fkJ|Integrating_unified_communications_and_internet_of_m_health_things_with_micro_wireless_physiological_sensors|Integrating unified communications and internet of m-health things with micro wireless physiological sensors|http://www.airitilibrary.com/Publication/alDetailedMesh?docid=15606686-201409-201410130004-201410130004-319-328|http://www2.tku.edu.tw/~tkjse/17-3/12-IE10301_1126.pdf|
SpvMhEhACNgJ|An_inferential_real_time_falling_posture_reconstruction_for_Internet_of_healthcare_things|An inferential real-time falling posture reconstruction for Internet of healthcare things|https://www.sciencedirect.com/science/article/pii/S1084804517300760||
TUTwyGGnIXoJ|An_energy_harvested_ultra_low_power_transceiver_for_Internet_of_Medical_Things|An energy harvested ultra-low power transceiver for Internet of Medical Things|http://ieeexplore.ieee.org/abstract/document/7598260/||
K20CJlE1VcIJ|Internet_of_Medical_Things_for_cardiac_monitoring_Paving_the_way_to_5G_mobile_networks|Internet of Medical Things for cardiac monitoring: Paving the way to 5G mobile networks|http://ieeexplore.ieee.org/abstract/document/7907420/||
91mBbp5ECbcJ|An_implantable_low_power_ultrasonic_platform_for_the_Internet_of_Medical_Things|An implantable low-power ultrasonic platform for the Internet of Medical Things|http://ieeexplore.ieee.org/abstract/document/8057133/|https://pdfs.semanticscholar.org/97f7/4a30426d6f2b346617c342f45a46ff884fb1.pdf|
