Bg0-T0USLrIJ|The_internet_of_things_for_health_care_a_comprehensive_survey|The internet of things for health care: a comprehensive survey|http://ieeexplore.ieee.org/abstract/document/7113786/|http://ieeexplore.ieee.org/iel7/6287639/7042252/07113786.pdf|295
UkWPkZiz8aMJ|PDF_PDF_Registration_protocol_for_health_iot_platform_to_share_the_use_of_medical_devices|[PDF][PDF] Registration protocol for health iot platform to share the use of medical devices|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|https://pdfs.semanticscholar.org/5ec1/3829f75960a51a6bb7786b53522829a63674.pdf|4
knn5qBKi084J|Cloud_assisted_industrial_internet_of_things_iiot_enabled_framework_for_health_monitoring|Cloud-assisted industrial internet of things (iiot)–enabled framework for health monitoring|https://www.sciencedirect.com/science/article/pii/S1389128616300019|http://tarjomefa.com/wp-content/uploads/2016/09/4917-english.pdf|101
HvQKJYbrplwJ|An_interactive_trust_model_for_application_market_of_the_internet_of_things|An interactive trust model for application market of the internet of things|http://ieeexplore.ieee.org/abstract/document/6742593/||29
pzf0XFI4wp8J|Design_of_a_terminal_solution_for_integration_of_in_home_health_care_devices_and_services_towards_the_Internet_of_Things|Design of a terminal solution for integration of in-home health care devices and services towards the Internet-of-Things|http://www.tandfonline.com/doi/abs/10.1080/17517575.2013.776118|http://www.diva-portal.org/smash/record.jsf?pid=diva2:622720|101
o5iF2rgFh60J|Health_internet_of_things_recent_applications_and_outlook|Health internet of things: recent applications and outlook|http://www.airitilibrary.com/Publication/alDetailedMesh?docid=16079264-201503-201504070025-201504070025-351-362|https://www.researchgate.net/profile/Yin_Zhang26/publication/282712539_Health_Internet_of_Things_Recent_Applications_and_Outlook/links/570aa9f208ae8883a1fbf9ef.pdf|10
88NGqZmM_lAJ|PDF_PDF_A_Modern_Health_Care_System_Using_IoT_and_Android|[PDF][PDF] A Modern Health Care System Using IoT and Android|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|http://www.enggjournals.com/ijcse/doc/IJCSE16-08-04-031.pdf|3
zZ0dfyIpoDcJ|Smart_e_health_gateway_Bringing_intelligence_to_internet_of_things_based_ubiquitous_healthcare_systems|Smart e-health gateway: Bringing intelligence to internet-of-things based ubiquitous healthcare systems|http://ieeexplore.ieee.org/abstract/document/7158084/|https://www.researchgate.net/profile/Tuan_Nguyen_Gia2/publication/270880243_Smart_e-Health_Gateway_Bringing_Intelligence_to_Internet-of-Things_Based_Ubiquitous_Healthcare_Systems/links/557a9bcf08aeb6d8c0206ff0.pdf|73
tc4wK9EF7QUJ|Risk_driven_security_metrics_development_for_an_e_health_IoT_application|Risk-driven security metrics development for an e-health IoT application|http://ieeexplore.ieee.org/abstract/document/7335061/|http://icsa.cs.up.ac.za/issa/2015/Proceedings/Full/45_Paper.pdf|4
OmRp_bLYKBUJ|Personal_and_sensitive_data_in_the_e_health_IoT_universe|Personal and sensitive data in the e-health-IoT universe|https://link.springer.com/chapter/10.1007/978-3-319-47075-7_54||3
WLxn10T516IJ|A_novel_and_secure_IoT_based_cloud_centric_architecture_to_perform_predictive_analysis_of_users_activities_in_sustainable_health_centres|A novel and secure IoT based cloud centric architecture to perform predictive analysis of users activities in sustainable health centres|https://link.springer.com/article/10.1007/s11042-016-4050-6|https://www.researchgate.net/profile/Pradeep_Gupta7/publication/309392206_MTAP/links/580df0b308aeec6231eec78a/MTAP.pdf|15
lssAEFvrmFQJ|Wearable_Internet_of_Things_Concept_architectural_components_and_promises_for_person_centered_healthcare|Wearable Internet of Things: Concept, architectural components and promises for person-centered healthcare|http://ieeexplore.ieee.org/abstract/document/7015971/|https://pdfs.semanticscholar.org/57b7/240f0b2d1395c08c7dee868a4754510ba9be.pdf|62
ENmmxhS7G74J|Health_Internet_of_Things_Metrics_and_methods_for_efficient_data_transfer|Health Internet of Things: Metrics and methods for efficient data transfer|https://www.sciencedirect.com/science/article/pii/S1569190X12001232|http://www.academia.edu/download/46620433/j.simpat.2012.08.00220160619-7611-g36x93.pdf|42
E5RUFiK4NxwJ|Introduction_Systems_science_in_industrial_sectors|Introduction: Systems science in industrial sectors|http://onlinelibrary.wiley.com/doi/10.1002/sres.2186/full||52
YOB5jwpaatkJ|The_potential_of_Internet_of_Things_IOT_for_assisted_living_applications|The potential of Internet of Things (IOT) for assisted living applications|http://ieeexplore.ieee.org/abstract/document/6183152/||4
mOp73RC6yy0J|Smart_clothing_Connecting_human_with_clouds_and_big_data_for_sustainable_health_monitoring|Smart clothing: Connecting human with clouds and big data for sustainable health monitoring|https://link.springer.com/article/10.1007/s11036-016-0745-1|http://www.ece.ubc.ca/~minchen/min_paper/MONET-SmartClothing-2016.pdf|71
99_j6WeWKcoJ|Effective_ways_to_use_Internet_of_Things_in_the_field_of_medical_and_smart_health_care|Effective ways to use Internet of Things in the field of medical and smart health care|http://ieeexplore.ieee.org/abstract/document/7475151/|http://www.ieeeprojectsmadurai.com/2015-16%20IEEE%20PAPERS/embedded/Effective%20Ways%20to%20Use%20Internet%20of%20Things%20in%20the%20field%20of%20medical%20and%20Smart%20Health%20care.pdf|17
XVe4OV8waa0J|A_web_platform_for_interconnecting_body_sensors_and_improving_health_care|A web platform for interconnecting body sensors and improving health care|https://www.sciencedirect.com/science/article/pii/S1877050914014082|https://www.sciencedirect.com/science/article/pii/S1877050914014082/pdf?md5=366644074f095b4f636499e5e66f1252&pid=1-s2.0-S1877050914014082-main.pdf&_valck=1|26
7wIRYurvnT4J|PDF_PDF_Internet_of_things_for_an_age_friendly_healthcare|[PDF][PDF] Internet of things for an age-friendly healthcare.|https://pdfs.semanticscholar.org/a59e/9c3fc5437939c1ae05d1aaeedc8b52a3443c.pdf|https://pdfs.semanticscholar.org/a59e/9c3fc5437939c1ae05d1aaeedc8b52a3443c.pdf|20
1AMyi7Zmqp0J|Intelligent_packaging_and_intelligent_medicine_box_for_medication_management_towards_the_Internet_of_Things|Intelligent packaging and intelligent medicine box for medication management towards the Internet-of-Things|http://ieeexplore.ieee.org/abstract/document/6779193/|http://www.icact.org/journal/Volume2_Issue6.pdf#page=26|9
xu5t08HWahIJ|Exploiting_smart_e_health_gateways_at_the_edge_of_healthcare_internet_of_things_a_fog_computing_approach|Exploiting smart e-health gateways at the edge of healthcare internet-of-things: a fog computing approach|https://www.sciencedirect.com/science/article/pii/S0167739X17302121|https://www.researchgate.net/profile/Amir_M_Rahmani2/publication/313471512_Exploiting_Smart_E-Health_Gateways_at_the_Edge_of_Healthcare_Internet-of-Things_A_Fog_Computing_Approach/links/59c5b58a0f7e9bd2c0056367/Exploiting-Smart-E-Health-Gateways-at-the-Edge-of-Healthcare-Internet-of-Things-A-Fog-Computing-Approach.pdf|24
0N8d3CloI-8J|Real_time_medical_emergency_response_system_exploiting_IoT_and_big_data_for_public_health|Real-time medical emergency response system: exploiting IoT and big data for public health|https://link.springer.com/article/10.1007/s10916-016-0647-6||9
PEY47DCrTKoJ|IoT_healthcare_analytics_The_importance_of_anomaly_detection|IoT healthcare analytics: The importance of anomaly detection|http://ieeexplore.ieee.org/abstract/document/7474197/||10
